"","Rho","N","P","p.adj","permPValue"
"ENSG00000008277",-0.317829688091089,51,0.00641281427704811,1,0.228664517456616
"ENSG00000008282",0.0354279699922623,64,0.732546764604725,1,0.999998240152332
"ENSG00000008283",-0.00158142548943501,61,0.988126928189484,1,0.999996331998181
"ENSG00000008294",-0.035114257347645,61,0.741078327261265,1,0.999998187394416
"ENSG00000008300",-0.0855757102533048,57,0.436849909467615,1,0.112462006079027
"ENSG00000008311",0.0141711879969049,64,0.891271174493957,1,0.99993954050786
"ENSG00000008323",-0.139497256152448,49,0.241286618568704,1,0.0596978830153946
"ENSG00000008324",-0.00825226547725335,53,0.942439523632546,1,0.999998187394416
"ENSG00000008382",-0.0297681319897904,67,0.768755423197306,1,0.999998187394416
"ENSG00000008394",-0.0515955285711012,55,0.645376251302274,1,0.936162911435283
"ENSG00000008405",0.0191669355923945,65,0.852155624499068,1,0
"ENSG00000008438",-0.188712839024099,13,0.440400698139003,1,0.46005549875858
"ENSG00000008441",0.117569789198115,54,0.298939043413545,1,0.426388306964431
"ENSG00000008513",NA,NA,NA,NA,NA
"ENSG00000008516",-0.182081204434379,61,0.0866413826175594,1,0.276686982479341
"ENSG00000008710",0.0356159927970223,44,0.777297410789522,1,0.999998187394416
"ENSG00000008735",-0.0346713668816579,55,0.757136184738046,1,0.999993200193115
"ENSG00000008838",0.00275428797707474,65,0.978634265741958,1,0.999978746918303
"ENSG00000008853",0,57,1,1,0
"ENSG00000008869",-0.0436989484810084,58,0.688693527589982,1,0.99993954050786
"ENSG00000008952",-0.0495451790027755,66,0.627282830858096,1,0.141903544371134
"ENSG00000009307",-0.0661452989084736,62,0.530216610920017,1,0.397426472491574
"ENSG00000009335",-0.0984592848299782,65,0.338383660927284,1,0
"ENSG00000009413",-0.0803435335180144,66,0.431055818951591,1,0.141903544371134
"ENSG00000009694",0.010223972648865,41,0.937632308094486,1,0.999997786048118
"ENSG00000009709",NA,NA,NA,NA,NA
"ENSG00000009724",-0.176572048939494,69,0.076642773823286,1,0.351504718184137
"ENSG00000009765",-0.102658887183694,57,0.350955308639846,1,0.99993954050786
"ENSG00000009780",0.0241088516818307,58,0.825070520457273,1,0.99993954050786
"ENSG00000009790",-0.0264774117434518,66,0.795260986921156,1,0.847731534504959
"ENSG00000009830",-0.171471374762549,64,0.0981233824969847,1,0
"ENSG00000009844",-0.0174077655955698,66,0.864538026866961,1,0
"ENSG00000009950",-0.129451097801297,62,0.219294675380796,1,0.353561921326984
"ENSG00000009954",-0.0976410726511063,68,0.331185029602302,1,0.351504718184137
"ENSG00000010017",0.00930238148193878,62,0.929659314205143,1,0.999998061493309
"ENSG00000010030",NA,NA,NA,NA,NA
"ENSG00000010072",0.00537070663330036,57,0.961080949261351,1,0.81871769030546
"ENSG00000010165",0.0380841364665322,66,0.708974428911641,1,0.217948211108915
"ENSG00000010219",0.0216067907850721,18,0.915424584298719,1,0.999993696816893
"ENSG00000010244",0.0629357679224446,66,0.537375978733466,1,0.724274573175016
"ENSG00000010256",-0.0608671621721182,68,0.544678392863482,1,0.999998187394416
"ENSG00000010270",-0.0215595097155339,59,0.841941337007716,1,0.734791987441319
"ENSG00000010278",0.0415108256509741,66,0.684142982673364,1,0.999991420065036
"ENSG00000010282",-0.121110219452863,34,0.401006483409924,1,0.999993200193115
"ENSG00000010292",-0.0672074915650472,68,0.503589304430051,1,0.141903544371134
"ENSG00000010295",0.0278290975275073,38,0.837848032415042,1,0.999997864251847
"ENSG00000010310",0.00877058019307029,26,0.957967251805562,1,0.999991181113473
"ENSG00000010318",-0.21927163526382,41,0.0933219024710248,1,0.242245954331971
"ENSG00000010319",-0.0442115569377615,58,0.685236254818152,1,0.797801619314795
"ENSG00000010322",0.180767614415003,49,0.128901508766054,1,0.944691965807008
"ENSG00000010327",0.0852718302511055,62,0.418415301619938,1,0
"ENSG00000010361",-0.231376987486855,59,0.0323482380346919,1,0.208708445501784
"ENSG00000010379",0.21053798026663,48,0.0801812246793444,1,0.304271502023183
"ENSG00000010404",0.0307983545152388,66,0.762780608741561,1,0.231041778329431
"ENSG00000010539",0.043837575820391,54,0.698535358303339,1,0.999998187394416
"ENSG00000010610",-0.0280415390802197,48,0.815735131836463,1,0.999996414883968
"ENSG00000010626",-0.108230629773451,49,0.363277660936094,1,0.298426961154171
"ENSG00000010671",-0.114964269304785,56,0.300662129328781,1,0.141903544371134
"ENSG00000010704",0.0470078093001575,50,0.689865651014755,1,0.15342882604821
"ENSG00000010803",-0.176245925520638,55,0.115953586137955,1,0
"ENSG00000010810",-0.162980103169622,55,0.146039118048844,1,0.255237794903128
"ENSG00000010818",NA,NA,NA,NA,NA
"ENSG00000010932",-0.0550867239195998,52,0.633187660781809,1,0
"ENSG00000011007",0.0489653183141129,66,0.63131837576298,1,0.999998187394416
"ENSG00000011009",-0.0950731813296504,66,0.351470731279953,1,0.999997786048118
"ENSG00000011021",-0.0190209881787869,68,0.849859265484803,1,0.999991420065036
"ENSG00000011028",-0.198581568718347,66,0.0516369925982246,1,0.189359184330358
"ENSG00000011083",-0.0361845778992201,38,0.790169451022532,1,0.99993954050786
"ENSG00000011105",0.00493243622303575,60,0.96329454497708,1,0.999998187394416
"ENSG00000011132",-0.115010926557059,64,0.267257493154388,1,0.433264178187914
"ENSG00000011143",-0.151833527039905,62,0.149641101685076,1,0
"ENSG00000011198",0.103876593214983,62,0.324270257669242,1,0.243890863703022
"ENSG00000011201",-0.199813594260811,52,0.0834358280882949,1,0.432870152186365
"ENSG00000011243",-0.0595990962935324,68,0.553091663704875,1,0
"ENSG00000011258",0.0572891899231546,40,0.665159038276376,1,0.999998187394416
"ENSG00000011260",-0.0405781081147455,68,0.686333523268837,1,0.999990001199856
"ENSG00000011275",-0.145555627434896,60,0.174452200756426,1,0.212884480299708
"ENSG00000011295",-0.0824815222131074,60,0.441564594766279,1,0.112462006079027
"ENSG00000011304",-0.120022614760537,60,0.262793544045965,1,0
"ENSG00000011332",-0.118469775551818,19,0.548506235500147,1,0.276843228292846
"ENSG00000011347",-0.0851869990541116,50,0.469599483935707,1,0.999991420065036
"ENSG00000011405",0.0547713598396044,59,0.612436863173879,1,0.679451967024049
"ENSG00000011422",NA,NA,NA,NA,NA
"ENSG00000011426",-0.0636595070120767,41,0.626117479916739,1,0.691895671476138
"ENSG00000011451",-0.0650256088762355,43,0.609893133886768,1,0.999991420065036
"ENSG00000011454",-0.153891934580346,40,0.244990156367002,1,0.999991420065036
"ENSG00000011465",0.0874965456224199,68,0.383879320587852,1,0.741041959557175
"ENSG00000011478",0.0330656413851545,64,0.749762446900944,1,0.81871769030546
"ENSG00000011485",0.127210594736856,66,0.212509416455259,1,0.219882200075191
"ENSG00000011523",-0.0884096025115927,66,0.386251302059872,1,0.858087875693902
"ENSG00000011566",-0.00485185424782985,60,0.963893794791117,1,0.99993954050786
"ENSG00000011590",NA,NA,NA,NA,NA
"ENSG00000011600",-0.110974190404619,29,0.479500122186953,1,0.999998187394416
"ENSG00000011638",-0.108465228909328,18,0.593954675326915,1,0
"ENSG00000011677",0.0395477859112111,31,0.794002680192762,1,0.999998187394416
"ENSG00000012048",0.0594305699341715,58,0.585853245493651,1,0.999998187394416
"ENSG00000012061",-0.0578722554876386,62,0.582889032248327,1,0.894041331782321
"ENSG00000012124",-0.142861903016514,39,0.286868651325368,1,0.520368253741472
"ENSG00000012171",-0.00952103411663306,66,0.925658515751337,1,0.999998240152332
"ENSG00000012174",-0.0811783213876721,62,0.441104825356111,1,0.99993954050786
"ENSG00000012211",-0.0803435335180144,66,0.431055818951591,1,0.319937713768929
"ENSG00000012223",-0.225495337187978,62,0.0323707341288944,1,0.191893395755785
"ENSG00000012232",-0.0401286176952564,24,0.817361331385177,1,0.258806717690517
"ENSG00000012504",-0.0751651123959927,62,0.475680252090622,1,0
"ENSG00000012660",-0.0519907010220176,68,0.604866823183545,1,0.400556689328712
"ENSG00000012817",-0.0377425678048199,13,0.877370556064143,1,0.99993954050786
"ENSG00000012822",-0.0223843900923096,60,0.834567917009483,1,0.99993954050786
"ENSG00000012983",-0.0432135815701443,18,0.831796781836505,1,0.999991420065036
"ENSG00000013016",-0.00634032939292898,68,0.949687406089985,1,0.999997786048118
"ENSG00000013288",-0.353553390593274,16,0.103741678236542,1,0.825998879740348
"ENSG00000013293",-0.0771962313404688,23,0.664200161966432,1,0.999992338573749
"ENSG00000013297",-0.0456886227533989,62,0.664611629541006,1,0.99993954050786
"ENSG00000013306",-0.0056437758429308,65,0.956236483597006,1,0.999997625656209
"ENSG00000013364",-0.149631773673124,68,0.136449390457656,1,0.141903544371134
"ENSG00000013374",NA,NA,NA,NA,NA
"ENSG00000013375",-0.0267811778393381,66,0.792965225289231,1,0.859224132778099
"ENSG00000013392",-0.0608305305878326,67,0.547980370861382,1,0.624209168454379
"ENSG00000013441",0.102011079821068,66,0.317439524511552,1,0.932445686225456
"ENSG00000013503",-0.0589430998604927,64,0.569649549161686,1,0.999991420065036
"ENSG00000013523",0.0308734454210739,69,0.756886973796693,1,0.999998187394416
"ENSG00000013561",-0.0254734543262583,54,0.821937183174016,1,0.99993954050786
"ENSG00000013563",NA,NA,NA,NA,NA
"ENSG00000013573",NA,NA,NA,NA,NA
"ENSG00000013583",0.14109439607327,65,0.17008706036304,1,0.851542164831101
"ENSG00000013588",0.0840082558882581,36,0.548229256143338,1,0.999991420065036
"ENSG00000013619",-0.252107518845038,28,0.114911160859891,1,0
"ENSG00000013725",0.0633247586861304,20,0.741464612632977,1,0.999998187394416
"ENSG00000014123",-0.0418461739933313,68,0.677076656121893,1,0.99993954050786
"ENSG00000014138",-0.0748158868365619,68,0.456530427656153,1,0.999993200193115
"ENSG00000014216",-0.133905889196691,66,0.189415443471332,1,0.80340037766331
"ENSG00000014257",-0.146529969124595,52,0.204275077305295,1,0.528344555749314
"ENSG00000014641",-0.0266293834503017,68,0.790996215494177,1,0.999998187394416
"ENSG00000014824",-0.0503254660450604,66,0.621869984701786,1,0
"ENSG00000014914",0.0548694052188711,57,0.618108888710212,1,0.932445686225456
"ENSG00000014919",-0.113209932449363,60,0.290853843553899,1,0.99993954050786
"ENSG00000015133",-0.136306775612913,57,0.215547093782488,1,0.586715867158672
"ENSG00000015153",-0.0971955483851735,54,0.39050167388273,1,0.141903544371134
"ENSG00000015171",0.0539874807333922,63,0.605468285386617,1,0.635197108438587
"ENSG00000015285",-0.0933041038766655,61,0.379947495344948,1,0.141903544371134
"ENSG00000015413",-0.0285137790488089,46,0.816725184676765,1,0.563075538013457
"ENSG00000015475",0,10,1,1,0
"ENSG00000015479",-0.10392752542858,60,0.332223287968023,1,0.99993954050786
"ENSG00000015520",0.0723091801662129,66,0.478543198638701,1,0
"ENSG00000015532",0.114286460819349,65,0.266457080504774,1,0.112462006079027
"ENSG00000015592",0.0668153104781061,28,0.676082740572745,1,0.677357559791958
"ENSG00000015676",0.119198192587065,68,0.235516698779818,1,0
"ENSG00000016082",-0.100125234864352,19,0.612089880089257,1,0.897272245642793
"ENSG00000016391",0.077528420664012,66,0.447375688709834,1,0
"ENSG00000016402",-0.0364151958524701,57,0.740749397756571,1,0.99993954050786
"ENSG00000016490",-0.310983160823524,20,0.105192505120041,1,0.141903544371134
"ENSG00000016602",-0.451407444512896,19,0.02224312059135,1,0
"ENSG00000016864",-0.0913007432581773,68,0.363545262964422,1,0.205901355798408
"ENSG00000017260",-0.0418461739933313,68,0.677076656121893,1,0.999997625656209
"ENSG00000017427",-0.0328469340870815,56,0.767445117545671,1,0.999997295682015
"ENSG00000017483",-0.0461880215351701,25,0.785816953435799,1,0.999990001199856
"ENSG00000017797",-0.0583310304149466,68,0.561568145577964,1,0.586317841665238
"ENSG00000018189",0.272933528163731,48,0.0233193485119236,1,0.711148611906644
"ENSG00000018236",0.1385723657704,42,0.282822320846501,1,0.81871769030546
"ENSG00000018280",-0.0194074169913194,60,0.856311460718777,1,0.999998187394416
"ENSG00000018408",-0.125356634105602,56,0.259076660702355,1,0.999993200193115
"ENSG00000018510",0.0535313292332219,58,0.623588276392563,1,0.907410318344141
"ENSG00000018610",0.332758124391665,30,0.030849999436875,1,0
"ENSG00000018625",-0.141940242548492,66,0.164210579285434,1,0.680055486424186
"ENSG00000018699",-0.0315693472063169,62,0.764503381535846,1,0.999991420065036
"ENSG00000018869",0.016489709436668,48,0.891003470231072,1,0.999998187394416
"ENSG00000019102",-0.0826739905068924,57,0.452556867940406,1,0.0847532322450716
"ENSG00000019144",NA,NA,NA,NA,NA
"ENSG00000019485",0.0363480789440374,55,0.745787586864002,1,0.999998187394416
"ENSG00000019505",-0.124614948732424,42,0.334132117478476,1,0
"ENSG00000019549",-0.180065354759183,68,0.0731295967808427,1,0.99993954050786
"ENSG00000019582",0.0913007432581773,68,0.363545262964422,1,0
"ENSG00000019991",-0.202763302425836,44,0.107346536993811,1,0.212884480299708
"ENSG00000019995",0.153891934580346,40,0.244990156367002,1,0.81871769030546
"ENSG00000020129",-0.00150330224791985,62,0.988618283711304,1,0.999998187394416
"ENSG00000020256",0.0592197804135434,61,0.57735045866109,1,0.879748120328009
"ENSG00000020426",-0.203203178461144,58,0.0624690922598337,1,0.887531194114087
"ENSG00000020577",-0.0653218168058017,63,0.531971058097401,1,0.99993954050786
"ENSG00000020633",-0.0672470759814253,37,0.625820745697393,1,0.538310735305878
"ENSG00000020922",-0.344016480616226,17,0.101453812614208,1,0.776211727269199
